Month,shakespeare: (Worldwide)
2004-01,87
2004-02,94
2004-03,99
2004-04,100
2004-05,91
2004-06,63
2004-07,50
2004-08,47
2004-09,66
2004-10,66
2004-11,78
2004-12,59
2005-01,77
2005-02,84
2005-03,81
2005-04,91
2005-05,83
2005-06,51
2005-07,40
2005-08,41
2005-09,55
2005-10,64
2005-11,71
2005-12,49
2006-01,64
2006-02,62
2006-03,67
2006-04,64
2006-05,69
2006-06,46
2006-07,33
2006-08,33
2006-09,47
2006-10,50
2006-11,55
2006-12,38
2007-01,52
2007-02,54
2007-03,51
2007-04,56
2007-05,54
2007-06,38
2007-07,29
2007-08,29
2007-09,39
2007-10,45
2007-11,42
2007-12,35
2008-01,42
2008-02,45
2008-03,43
2008-04,47
2008-05,43
2008-06,33
2008-07,25
2008-08,25
2008-09,33
2008-10,35
2008-11,39
2008-12,33
2009-01,39
2009-02,41
2009-03,47
2009-04,47
2009-05,43
2009-06,37
2009-07,27
2009-08,28
2009-09,36
2009-10,39
2009-11,41
2009-12,36
2010-01,43
2010-02,44
2010-03,44
2010-04,47
2010-05,44
2010-06,34
2010-07,28
2010-08,27
2010-09,31
2010-10,35
2010-11,37
2010-12,30
2011-01,37
2011-02,39
2011-03,39
2011-04,39
2011-05,38
2011-06,32
2011-07,28
2011-08,27
2011-09,32
2011-10,37
2011-11,42
2011-12,31
2012-01,34
2012-02,37
2012-03,37
2012-04,38
2012-05,35
2012-06,30
2012-07,26
2012-08,26
2012-09,30
2012-10,29
2012-11,31
2012-12,27
2013-01,28
2013-02,34
2013-03,31
2013-04,37
2013-05,32
2013-06,24
2013-07,22
2013-08,21
2013-09,26
2013-10,28
2013-11,29
2013-12,24
2014-01,28
2014-02,31
2014-03,30
2014-04,35
2014-05,32
2014-06,25
2014-07,20
2014-08,20
2014-09,24
2014-10,26
2014-11,27
2014-12,22
2015-01,27
2015-02,30
2015-03,29
2015-04,32
2015-05,29
2015-06,22
2015-07,18
2015-08,19
2015-09,22
2015-10,25
2015-11,27
2015-12,23
2016-01,27
2016-02,29
2016-03,29
2016-04,59
2016-05,33
2016-06,22
2016-07,19
2016-08,18
2016-09,22
2016-10,25
2016-11,25
2016-12,21
2017-01,25
2017-02,27
2017-03,27
2017-04,27
2017-05,26
2017-06,21
2017-07,18
2017-08,17
2017-09,19
2017-10,22
2017-11,24
2017-12,19
2018-01,23
2018-02,24
2018-03,22
2018-04,25
2018-05,24
2018-06,18
2018-07,17
2018-08,17
2018-09,19
2018-10,21
2018-11,21
2018-12,16
2019-01,22
2019-02,22
2019-03,25
2019-04,24
2019-05,21
2019-06,17
2019-07,17
2019-08,16
2019-09,18
2019-10,18
2019-11,19
2019-12,16
2020-01,19
2020-02,21
2020-03,20
2020-04,22
2020-05,19
2020-06,14
2020-07,13
2020-08,14
2020-09,15
2020-10,14
2020-11,14
2020-12,16
2021-01,14
2021-02,15
2021-03,15
2021-04,17
2021-05,17
2021-06,13
2021-07,13
2021-08,13
2021-09,14
2021-10,13
2021-11,14
2021-12,12
2022-01,15
2022-02,16
2022-03,17
2022-04,20
2022-05,17
2022-06,15
2022-07,13
2022-08,13
2022-09,14
2022-10,15
2022-11,15
2022-12,13
2023-01,16
2023-02,16
2023-03,17
2023-04,17
2023-05,16
2023-06,14
2023-07,11
2023-08,13
2023-09,13
2023-10,16
2023-11,16
2023-12,14
2024-01,16
2024-02,17
